aptName,modelName,beds,baths,unit,price,sqft,availability
Gridline,1x1 A,1 bed,1 bath,104W,"$2,005",508,Now
Connection on Broadway,U5,1 bed,1 bath,N415,"$1,973",514,Jan. 20
Connection on Broadway,U5,1 bed,1 bath,N415,"$1,943",514,Feb. 7
Connection on Broadway,U6,1 bed,1 bath,N415,"$2,088",621,Jan. 20
624 Yale Apartments,One Bedroom + Den A6,1 bed,1 bath,326-A,"$2,165",688,Now
624 Yale Apartments,Open One Bedroom O1,1 bed,1 bath,326-A,"$2,020",528,Apr. 7
The Danforth,Open 1x1 A,1 bed,1 bath,1315,"$2,117",649,Now
Zephyr Apartments,Ground Floor K w/ Private Patio,1 bed,1 bath,605,"$2,195",677,Now
Pivot Apartments,Open 1bed A,1 bed,1 bath,414,"$2,020",589,Now
Pivot Apartments,Open 1bed A,1 bed,1 bath,414,"$2,020",589,Now
Pivot Apartments,Open 1bed A,1 bed,1 bath,414,"$2,020",589,Now
Pivot Apartments,Open 1 Bed B MFTE,1 bed,1 bath,414,"$1,926",517,Now
Pivot Apartments,Open 1bed B,1 bed,1 bath,414,"$2,020",517,Now
Pivot Apartments,Open 1bed B,1 bed,1 bath,414,"$2,020",535,Now
Violett On Melrose Apartments,1 bed 1 bath D renovated,1 bed,1 bath,01-204,"$1,895",572,Now
Violett On Melrose Apartments,1 bed 1 bath D renovated,1 bed,1 bath,01-204,"$1,895",572,Now
Violett On Melrose Apartments,1 bed 1 bath D,1 bed,1 bath,01-204,"$1,895",572,Now
The Cove,1BR/1.0BA,1 bed,1 bath,502,"$2,200",585,Now
Sunset Electric,1x1 F,1 bed,1 bath,310,"$1,945",601,Now
Sunset Electric,1x1 B,1 bed,1 bath,310,"$2,152",554,Now
Sunset Electric,1x1 D,1 bed,1 bath,310,"$2,152",575,Feb. 2
REO Flats,Open 1x1 F,1 bed,1 bath,612,"$2,100",623,Now
REO Flats,Open 1x1 F,1 bed,1 bath,612,"$2,100",623,Now
REO Flats,1x1 A MFTE,1 bed,1 bath,612,"$1,702",534,Feb. 5
REO Flats,Open 1x1 C,1 bed,1 bath,612,"$2,109",610,Feb. 7
Vertex Off Broadway,Traditional and Open 1-beds,1 bed,1 bath,608,"$2,095",575,Now
Union Park,1x1B,1 bed,1 bath,307,"$2,034",634,Now
Union Park,1x1B,1 bed,1 bath,307,"$2,064",634,Jan. 11
Union Park,1x1B,1 bed,1 bath,307,"$2,084",634,Feb. 8
Nine and Pine,"1 bed, 1 Bath Open O3",1 bed,1 bath,612,"$2,195",654,Now
Viva,Summit,1 bed,1 bath,424,"$1,800",566,Now
Viva,Madison2,1 bed,1 bath,424,"$1,940",696,Now
Viva,Madison2,1 bed,1 bath,424,"$1,980",696,Now
Viva,Crawford,1 bed,1 bath,424,"$1,990",751,Jan. 14
Jack Apartments,A5- One Bedroom,1 bed,1 bath,620,"$1,864",565,Now
Jack Apartments,A5- One Bedroom,1 bed,1 bath,620,"$1,979",565,Now
Jack Apartments,A5- One Bedroom,1 bed,1 bath,620,"$2,004",565,Now
Jack Apartments,A2- One Bedroom,1 bed,1 bath,620,"$1,930",512,Now
Solis,X02,1 bed,1 bath,402-MFTE,"$1,796",500,Now
Citizen,Open One Bedroom,1 bed,1 bath,210A,"$1,739",519,Now
Citizen,Open One Bedroom,1 bed,1 bath,210A,"$1,756",519,Now
Citizen,Open One Bedroom,1 bed,1 bath,210A,"$1,854",519,Now
Citizen,Open One Bedroom,1 bed,1 bath,210A,"$1,751",522,Jan. 19
Citizen,Open One Bedroom,1 bed,1 bath,210A,"$1,952",526,Feb. 6
Citizen,Open One Bedroom,1 bed,1 bath,210A,"$1,861",519,Feb. 17
Citizen,One Bedroom,1 bed,1 bath,210A,"$2,151",763,Now
Citizen,Open One-Bed + Den,1 bed,1 bath,210A,"$1,975",735,Jan. 28
1711 12th Apartments,1x1 Open,1 bed,1 bath,303,"$1,699",440,Jan. 25
Union Bay,One Bedrom One Bath,1 bed,1 bath,213,"$2,088",676,Now
